Primary,Secondary,Tertiary
,squares unsweetened chocolate,finely diced candied pineapple
,package miniature marshmallows,package vanilla cake mix
,squares semisweet chocolate,package instant banana cream pudding mix
,coffee flavored liqueur,container lowfat frozen whipped topping such as Cool Whip Lite thawed
,hot brewed coffee,package cinnamon swirl cake mix with cinnamon flavoring packet
,eggs separated,chopped dried dates
,nutmeg,egg white substitute
,container cream cheese frosting,granular sucralose sweetener such as Splenda
,raisins,chopped raw walnuts
,squares unsweetened chocolate chopped,Coffee Cake
,miniature marshmallows,turbinado sugar more for sprinkling
,colaflavored carbonated beverage,brown rice syrup
,flaked coconut,dry white wine such as Chenin Blanc
,package flaked coconut,coarsely chopped pecans or walnuts more for garnish
,jar marshmallow creme,package BAKERS ANGEL FLAKE Coconut divided
,apples peeled cored and sliced,pkg serving size JELLO Vanilla Flavor Instant Pudding Pie Filling
,chopped toasted pecans,unsalted butter softened additional for greasing
,cold water,prepared mustard
,butter flavored extract,slices rye bread
,white sugar divided,boiled ham thinly sliced
,confectioners sugar for dusting,slices white bread
,cocoa powder,cooked ham thinly sliced
,melted butter,salami thinly sliced
,golden raisins,curry powder
,rum flavored extract,toasted almonds
,package instant vanilla pudding mix,colaflavored carbonated beverage such as CocaCola
,grated carrots,colaflavored carbonated beverage such as CocaCola
,cocoa powder,grated apple
,packages instant vanilla pudding mix,Coconut Cake
,cream of tartar,White Frosting
,lemon zest,can sweetened cream of coconut
,hot water,can sweetened cream of coconut
,orange zested,shredded coconut divided
,rum,maraschino cherries optional
,butter melted,sweetened flaked coconut or as needed divided
,melted butter,jelly beans in assorted colors or as desired
,coffee flavored liqueur,So Delicious Coconut Milk Minis Vanilla Sandwiches
,cold strong brewed coffee,tub So Delicious Dairy Free CocoWhip
,confectioners sugar,berries raspberries blackberries strawberries or cherries
,instant coffee granules,Drizzle of Jens Zen vegan chocolate sauce
,whiskey,finely grated unsweetened coconut flakes
,packages instant pistachio pudding mix,applesauce or as needed
,can pumpkin puree,drops vanilla extract or to taste
,butter melted,instant coffee granules or more to taste
,pure maple syrup,heavy cream more as needed
,freshly grated lime zest,graham crackers broken into inch pieces
,pure vanilla extract,toasted almonds
,all purpose flour,coffee ice cream softened
,lightly sweetened whipped cream,beaten egg
,vanilla bean,drops vanilla extract or more to taste
,packed dark brown sugar,can or bottle colaflavored carbonated beverage such as Coke
,large eggs room temperature,glutenfree chocolate chip cookie crumbs extra for garnish
,sliced almonds lightly toasted,vegan butter melted
,whole milk,So Delicious Dairy Free Chocolate Coconutmilk Frozen Dessert or more as desired
,packed dark brown sugar,So Delicious Dairy Free Gluten Free Cookie Dough Frozen Dessert or more as desired
,finequality bittersweet chocolate not unsweetened,So Delicious Dairy Free CocoWhip thawed
,unsalted butter softened,mini chocolate chips for garnish
,cherry liqueur,creamfilled chocolate sandwich cookies such as Oreo
,semisweet chocolate chopped,peppermint ice cream
,light brown sugar packed,chocolate sandwich cookie crumbs
,ground ginger,chocolate sandwich cookies
,large egg whites at room temperature,corn flour
,chopped dried apricots,package frozen corn kernels thawed
,unsweetened chocolate finely chopped,chili powder
,flour,sifted pastry flour
,cocoa,cottage cheese
,cloves garlic chopped,hot salsa
,dried currants,cayenne pepper
,large eggs lightly beaten,saltine crackers finely crushed
,grated peeled fresh ginger,tub frozen whipped topping thawed
,toasted pecan pieces,fresh or thawed frozen cranberries
,Unsalted butter for pan,orange marmalade melted
,honey,Reddiwip Extra Creamy Whipped Cream
,Irish cream liqueur,cranberry applesauce
,unsalted butter softened,chocolate wafers
,cinnamon,cranberries
,grated Key lime zest,shelled pistachio nuts
,whole eggs,caramel ice cream topping
,finely grated lemon zest,can pear halves
,lemon juice,package cranberry quick bread mix
,unsalted butter melted cooled,frozen cranberries
,fresh lemon juice,glutinous rice flour
,almonds,dried cranberries or to taste
,granulated sugar,chopped pecans or to taste
,grated lime peel,cooked mashed sweet potatoes
,chopped toasted almonds,sweetened dried cranberries such as Craisins
,fresh lime juice,cranberries
,mashed ripe bananas,bag fresh or frozen cranberries
,sifted cake flour,can pitted Bing cherries juice reserved
,orange liqueur,chopped semisweet chocolate
,powdered sugar,toasted walnuts chopped
,vanilla ice cream,cake flour such as Swans Down
,grated orange peel,cream of coconut
,all purpose flour,creme de menthe liqueur
,Kitchen torch,creme de menthe liqueur
,olive oil,creme de menthe liqueur
,large eggs at room temperature for minutes,finely ground almonds
,unsweetened cocoa powder,drops almond extract
,strong brewed coffee,mashed blackberries
,toasted sliced almonds,mashed blackberries
,sifted all purpose flour,finely chopped dates
,Grated zest of orange,golden syrup
,plain wholemilk yogurt,almond meal
,whole milk,packages ladyfinger cookies
,cornstarch,package cherry flavored JellO mix
,orange juice,orange peels cut into inch strips
,chopped macadamia nuts,package frozen raspberries thawed
,cream cheese room temperature,seedless raspberry preserves
,butter room temperature,milk divided
,bourbon,SevenMinute Frosting
,plain Greek yogurt,crushed peppermint hard candies
,firmly packed brown sugar,strawberry apricot or raspberry preserves
,chocolate syrup,prepared eggnog or see notes for recipe
,packed light brown sugar,bourbon whiskey
,cake flour,prepared eggnog or see notes for recipe
,dark corn syrup,finely chopped toasted pecans optional
,packed light brown sugar,canned sweetened mango pulp
,powdered sugar,whole almonds or as desired optional
,unsalted butter softened,bacon grease
,cake flour,superfine white sugar
,packed light brown sugar,creme fraiche
,safflower or canola oil,chocolate sandwich cookies with creme filling
,whole large eggs,gummi worms
,unsweetened chocolate chopped,crushed chocolate sandwich cookies
,unsweetened Dutchprocess cocoa powder,chocolate sandwich cookie crumbs
,fresh raspberries,Buttercream Frosting
,plain lowfat yogurt,unsweetened cocoa powder sifted
,confectioners sugar,hot water optional
,Vegetable oil for greasing pan,cooking oil
,Bundt pan,whole wheat or white flour
,sifted all purpose flour,squares semisweet chocolate melted
,oranges,package layer size chocolate cake mix
,whole almonds toasted,dark or bittersweet chocolate grated
,hazelnuts toasted and skins rubbed off,Creamy Frosting
,unflavored gelatin from a envelope,powdered sugar or more as needed
,cold water,dark chocolate at least broken into small chunks
,chocolate hazelnut spread such as Nutella,pistachios shelled and crushed
,mascarpone,shaved white chocolate
,heavy cream,banana coarsely chopped
,finequality bittersweet chocolate not unsweetened chopped,Dr Pepper soft drink
,Special equipment an inch cm springform pan parchment paper,chopped unsalted dryroasted peanuts
,pecans about,dried apples
,pure maple syrup,shredded or flaked coconut
,coarsely chopped walnuts,chopped dried cherries
,unsalted butter,container vanilla yogurt
,glutenfree allpurpose baking flour,cakes cake yeast
,freshly grated nutmeg,dry bread crumbs
,large eggs beaten,vanilla sugar
,dried currants,whole milk or as needed
,chilled heavy cream,fresh plums pitted and quartered
,Grand Marnier or other orange liqueur,diced candies mixed fruit peel
,frozen orange juice concentrate thawed,candied cherries quartered
,sugar divided,pods durian seeded and chopped
,cake flour not selfrising,salt or to taste
,large egg white,apples peeled cored and cut into eighths
,powdered sugar,flax seeds
,inchdiameter revolving cake stand optional,apples peeled cored and thinly sliced
,large eggs at room temperature minutes,instant lemon pudding mix
,granulated sugar,package candycoated chocolate pieces
,powdered sugar,flaked coconut or more as needed divided
,grated orange peel,drops red food coloring or as needed
,chopped crystallized ginger,drops green food coloring or as needed
,large eggs room temperature,marshmallows halved lengthwise
,buttermilk room temperature,container readytouse pink frosting or more as needed
,packed dark brown sugar,readytouse white frosting or as needed
,unsalted butter room temperature,pink fruit rolls such as General Mills Fruit RollUps
,packages cream cheese chilled,pink paper bunny ears
,fresh orange juice,sugar cookie
,unsalted butter room temperature,package shaved coconut
,large eggs separated,package edible Easter grass
,unsalted butter melted,mini chocolate malted milk ball eggs such as Whoppers Robin Eggs or to taste
,egg at room temperature,black jellybeans
,fresh cranberries,black shoestring licorice
,selfrising flour,white frosting
,fresh orange juice,sweetened flaked coconut for decorating
,oldfashioned oats,jelly beans or other small candies or as desired
,packed light brown sugar,egg whites stiffly beaten
,confectioners sugar sifted,candycoated milk chocolate eggs
,package instant banana pudding mix,candied cherries rinsed dried and quartered
,unsalted butter at room temperature,candied mixed fruit peel chopped
,Cream Cheese Frosting recipe follows,apricot jam
,canola oil,banana cut into chunks
,hot water,can apple pie filling or more to taste
,blueberries,Marbled Spice
,extralarge eggs at room temperature,unsweetened lemonade drink mix
,flour,vanilla wafers crushed
,whole milk ricotta cheese,butter cut into small chunks
,red food coloring,small jellybeans
,large eggs beaten,red licorice
,cocoa powder,inch prepared angel food cake torn into bitesize pieces divided
,can evaporated milk,bars chocolatecovered crispy peanut butter candy such as Butterfinger crushed or more to taste
,lemon extract,butter cut into pieces
,ripe bananas mashed,jar crunchy peanut butter
,grated lemon zest,allpurpose flour or as needed
,fresh blueberries,bag chocolate confectioners coating
,package flaked coconut,cherry brandy
,package instant vanilla pudding mix,banana peeled and mashed
,amaretto liqueur,devils food chocolate cake mix such as Betty Crocker Super Moist
,coarsely chopped walnuts,bar dark chocolate
,packed brown sugar,confectioners sugar or as needed optional
,orange zest,semisweet chocolate morsels
,sourdough starter,packages devils food cake mix
,inch tube pan angel food cake,bags chocolate confectioners coating
,cream,bags white confectioners coating
,flour,package multicolored candy sprinkles or as needed optional
,unsalted butter melted,chopped nuts or as needed optional
,chopped raisins,styrofoam blocks
,pineapple juice,semisweet chocolate chunks
,brown sugar,pecans chopped
,ground cinnamon or to taste,ice cream sandwiches
,FROSTING,container frozen nondairy whipped topping
,molasses,jar chocolate fudge topping room temperature
,apricot nectar,zest of lemon or more to taste
,squares unsweetened chocolate chopped,poppy seeds or more to taste optional
,vinegar,ripe mango
,margarine melted,lime zest
,butter at room temperature,lime juiced
,package vanilla wafers crushed,golden rum optional
,nutmeg,vanilla extract or more to taste
,apple peeled cored and chopped,large orange zested
,ripe bananas mashed,selfrising flour sifted
,package butter pecan cake mix,can pineapple chunks drained
,sifted confectioners sugar,biscuit baking mix such as Bisquick
,heavy whipping cream,semisweet chocolate chips optional
,quick cooking oats,apples peeled cored and diced optional
,bananas,red food coloring as desired
,maraschino cherries,package yellow cake mix such as Duncan Hines Butter Golden
,ripe bananas,eggs divided
,bananas,softened butter
,confectioners sugar,dried currants optional
,drop red food coloring,butter melted and slightly cooled
,ground almonds,Pastry Shell
,unsalted butter,cold heavy whipping cream
,cornstarch,Chocolate Ganache
,beer,package graham cracker squares
,butter or margarine softened,orange juice strained
,cream cheese,can or bottle colaflavored carbonated beverage
,Glaze,sifted unbleached allpurpose flour
,olive oil,egg replacer dry
,coconut flour,sour cream substitute
,vodka,soy margarine
,coffee flavored liqueur,dates pitted and left whole
,ground allspice,dried blueberries
,applesauce,chopped dried cherries
,unsweetened cocoa powder,butter diced
,mixed spice,sprinkles optional
,confectioners sugar,caramel or to taste
,pumpkin pie spice,chopped cashews optional
,shredded Cheddar cheese,orange liqueur such as Grand Marnier optional
,package unflavored gelatin,red candied cherries
,confectioners sugar sifted,green candied cherries
,oil,package diced candied citron
,eggs separated,candied pineapple diced
,corn syrup,marshmallow creme
,eggs beaten,seedless fruit preserves
,eggs at room temperature,caraway seed
,heavy whipping cream,English walnuts coarsely chopped
,confectioners sugar,Dutchprocess cocoa such as Frys
,sea salt,butter divided
,heavy whipping cream,can DOLE Crushed Pineapple well drained
,jars carrot baby food,shredded DOLE carrots
,canola oil,DOLE Seedless Raisins
,canola oil,whole bran cereal
,dates pitted and chopped,fresh pears
,flaked coconut optional,egg substitute
,brown sugar,prune juice
,pinch ground nutmeg,canned figs with juice chopped
,pumpkin pie spice,dried figs
,butter at room temperature,chopped fresh rhubarb
,icing sugar,loaf prepared cake sliced
,almond flour,mixed berry fruit juice
,whole wheat flour,agaragar powder
,grated carrots,nonfat milk
,confectioners sugar,ground flax seed
,squares semisweet chocolate,grated carrot
,carbonated water,ground cinnamon or to taste optional
,jar maraschino cherries drained and chopped,ground nutmeg or to taste optional
,cans cherry pie filling,ground allspice or to taste optional
,cooking spray such as Pam,squares bittersweet chocolate
,can cherry pie filling,LAND O LAKES Unsalted Butter
,golden raisins,highquality bittersweet chocolate baking bar broken into small pieces
,ground nutmeg,LAND O LAKES Eggs
,masa harina,Espresso Whipped Cream
,sifted cake flour,LAND O LAKES Heavy Whipping Cream chilled
,unbleached allpurpose flour,extra fine edible glitter
,brewed coffee,white sugar separated
,ice,almond meal
,package fruit flavored JellO mix,coconut flakes
,tub COOL WHIP Whipped Topping thawed,almond slices
,individually wrapped caramels,bananas broken into chunks
,package dark chocolate cake mix,whipped heavy cream
,whole wheat flour,carob powder optional
,coconut extract,orange juiced and zested
,semisweet chocolate chopped,dried figs chopped
,package devils food cake mix with pudding,mint chocolate chip ice cream
,hot brewed coffee,pouch whipped cream stabilizer such as Dr Oetker Whip It
,package chocolate fudge cake mix,drop green food coloring or as desired
,cocoa powder,crushed chocolate sandwich cookies such as Oreo
,heavy whipping cream,hot fudge sauce or as needed
,shredded coconut,chocolate sprinkles or as desired
,hot water,chocolate sandwich cookies such as Oreo
,heavy cream,candied pineapple chunks
,butter melted,confectioners sugar for dusting optional
,sifted cake flour,sliced apples
,evaporated milk,apple peeled cored and diced
,pumpkin puree,butter more for pan
,quickcooking oats,bread crumbs
,canola oil,fresh apricots pitted and sliced
,shredded zucchini,crushed walnuts
,vanilla extract optional,Fresh Coconut Cake
,milk or more as needed,coconut drained and meat grated
,butter room temperature,Coconut Frosting
,shredded coconut,grated fresh coconut
,package yellow cake mix with pudding,cream of coconut
,package flaked coconut,grated fresh coconut
,coconut milk,sliced strawberries
,can cream of coconut,sliced peaches
,coconut extract,grated grapefruit zest
,sliced fresh strawberries,fresh grapefruit juice
,confectioners sugar or as needed,packages unflavored gelatin
,vinegar,diced orange segments
,chocolate syrup,fresh strawberries
,vinegar,peeled cored and chopped pears
,lemon juice,fresh pineapple peeled cored and cut into rings
,applesauce,thinly sliced strawberries
,hot water,crushed fresh strawberries
,chopped rhubarb,package yellow cake mix batter prepared as directed on package
,medium eggs,fruit cocktail drained
,margarine softened,pineapple sherbet
,package vanilla frosting,vanillaflavored vodka
,package raspberry flavored JellO mix,butterscotchflavored schnapps
,raisins optional,splashes grenadine syrup
,package noninstant chocolate pudding mix,cans fruit cocktail
,eggnog,can fruit cocktail with syrup
,orange extract,can fruit cocktail including syrup
,confectioners sugar,pinches salt
,hot water,fruit cocktail drained
,confectioners sugar or to taste,vanilla flavored syrup
,crushed pineapple drained,sliced strawberries
,unsalted butter cubed,package Duncan Hines Moist Deluxe Fudge Marble Cake Mix
,margarine softened,package vanilla instant pudding and pie filling mix
,grated orange zest,almond milk divided
,melted butter,cake mix with candy bits such as Pillsbury Funfetti or more to taste
,rice flour,multicolored sprinkles or to taste
,packed dark brown sugar,cake mix with candy bits such as Pillsbury Funfetti
,honey,crispy rice cereal such as Rice Krispies divided
,chopped dates,fruitflavored breakfast cereal such as Post Fruity Pebbles divided
,selfrising flour,package cake mix with candy bits such as Pillsbury Funfetti or more to taste
,white sugar or to taste,warm water degrees F degrees C
,orange zest,can sliced peaches drained
,maraschino cherry,can sliced peaches with juice
,maraschino cherries,melted margarine
,unsweetened applesauce,fresh peaches pitted and chopped
,strong brewed coffee,can garbanzo beans rinsed and drained
,pumpkin pie spice,caffeinated citrusflavored soda
,can mandarin oranges drained,maraschino cherries drained and juice reserved
,package cream cheese at room temperature,square unsweetened chocolate chopped
,rum,maraschino cherry juice
,large eggs separated,chopped black walnuts optional
,container lemon frosting,inch unbaked pie crusts
,drops red food coloring,container prepared coconut pecan frosting
,can frozen lemonade concentrate thawed,egg yolk beaten with water
,can mandarin orange segments,flaked coconut or more to taste
,carton sour cream,chopped pecans or more to taste
,lemon zested and juiced,squares German chocolate
,boiling water,Coconut Pecan Frosting
,sifted allpurpose flour,German sweet chocolate chips
,packed dark brown sugar,drained and chopped sauerkraut
,envelope instant dessert topping,plums pitted and halved
,dates pitted and chopped,Crumble Topping
,creamy peanut butter,cold butter cut into cubes
,package instant French vanilla pudding mix,squares German sweet chocolate chopped
,can crushed pineapple with juice,egg yolks lightly beaten
,margarine melted,ground beef
,unsweetened cocoa powder,yellow onion chopped
,can canned pumpkin puree,steak sauce
,distilled white vinegar,vegetable oil or as needed
,red food coloring,Cheddar cheese thinly sliced
,chopped rhubarb,cooked bacon strips
,warm water,Mardi Gras King Cake see footnote sliced in half horizontally icing reserved
,envelope whipped topping mix,purple decorating sugar
,cold brewed coffee,yellow decorating sugar
,very ripe bananas mashed,green decorating sugar
,squares white chocolate,sweetened whipped cream
,egg beaten,canned pear halves drained
,rumflavored extract,amaranth flour
,unsalted butter,buckwheat flour
,doubleacting baking powder,flax seed meal
,semisweet chocolate chopped,grated fresh ginger
,Potato starch for dusting cake pan,lemon zest or more to taste
,potato starch,dark molasses
,extralarge eggs separated at room temperature,can pear halves well drained
,Juice of large lemon,package gingerbread cake mix
,freshly grated lemon zest,brown rice flour
,strawberries stemmed washed and thinly sliced,tapioca starch
,sifted selfrising flour,sweet rice flour
,sweetened shredded coconut lightly toasted,rice starch
,can blueberry pie filling,white vanilla powder
,unsweetened shredded coconut,vanilla yogurt
,packed finely grated orange peel,ground flax seed
,canned unsweetened coconut milk,apples shredded
,bittersweet chocolate bars do not exceed cacao broken into inch irregular pieces divided,Caramel Sauce
,or more canned unsweetened coconut milk,brown rice flour
,White Lily flour or cake flour not selfrising,carob powder
,fresh coconut liquid from about heavy coconuts without any cracks and containing liquid procedure follows or water,seeded and minced jalapeno pepper
,cold unsalted butter cut into pieces,agave syrup
,shredded fresh coconut procedure follows or sweetened flaked coconut,Chocolate Cake
,freshly grated lime zest,coconut oil
,fresh lime juice,agave syrup
,about shaved fresh coconut procedure follows or sweetened flaked coconut,cocoa powder sifted
,unsweetened shredded coconut,glutenfree flour
,cake flour more for pan,small Golden Delicious apples peeled cored and chopped
,virgin coconut oil melted,quinoa
,canned unsweetened coconut milk divided,finely ground almonds almond meal
,finely grated key lime zest,glutenfree all purpose baking flour such as Bobs Red Mill
,fresh key lime juice from about key limes,glutenfree baking powder
,unsalted butter cut into pieces room temperature,avocado peeled pitted and pureed
,fresh key lime juice from about key limes,red food coloring as desired optional
,cold heavy cream,stalks rhubarb cut into inch pieces
,unsweetened coconut flakes,coconut oil melted
,coconut extract optional,tapioca starch
,can sweetened condensed milk,can crushed pineapple drained and juice reserved
,can coconut cream,soy yogurt
,chopped fresh mint leaves,coarsely ground walnuts
,heavy whipping cream chilled,glutenfree vanilla extract
,Sweetened flaked coconut,egg yolks room temperature
,large eggs at room temperature,milk lukewarm
,unsalted butter melted and cooled,package graham cracker crumbs
,can crushed pineapple including juice,graham crackers
,light rum,butter flavored extract optional
,Coconut buttercream,package buttery round crackers crushed
,fresh coconut shavings see how to crack and shave fresh coconut or sweetened flaked coconut package,candied fruit
,large eggs large yolks,Prune Cake
,unsalted butter melted and cooled,Sunsweet Amazn Prunes pitted
,wellstirred sweetened cream of coconut such as Coco Lpez,Sunsweet Amazn Prune Juice
,medium coconut,white corn syrup or honey
,confectioners sugar,carrots grated
,cream cheese softened,nonfat milk
,wellstirred sweetened cream of coconut,jars pureed prunes baby food
,to heavy cream,cranberryflavored liqueur
,Equipment a inch round cake pan inches deep an adjustableblade slicer,raisins or dates
,canned cream of coconut such as Coco Lpez,brown sugar packed
,box white cake mix,pineapple rings
,flaked sweetened coconut toasted,pinch ground mace
,sifted unbleached all purpose flour,pinch ground nutmeg or to taste
,light unsulfured molasses,Heinz Tomato Ketchup
,diced crystallized ginger about,red food colouring
,cream cheese room temperature,brickstyle cream cheese softened
,minced crystallized ginger scant,bittersweet chocolate
,Tropical fruit such as pineapple papaya and mango cut into bitesize pieces,honey or to taste
,fine chocolate wafer crumbs about wafers,green tea powder matcha
,coffee ice cream softened slightly,chopped green tomatoes
,crushed amaretti Italian almond macaroons available at specialty foods shops and some supermarkets,unsalted butter chilled cut into tablespoonsize pieces
,firmly packed dark brown sugar,grated lime zest
,finequality bittersweet chocolate chopped,pineapple ring
,to Amaretto or to taste,shortcake shell
,natural unsweetened cocoa powder,raisins finely chopped
,instant espresso powder dissolved in hot water,chopped candied citron
,chilled heavy whipping cream divided,chopped candied orange peel
,containers chilled mascarpone cheese,salted hardcooked duck egg shelled
,Bittersweet chocolate curls optional,ground pork
,chilled unsalted butter cubed,head broccoli cut into florets
,semisweet chocolate coarsely chopped,eggs at room temperature separated
,pecans about lightly toasted and coarsely chopped,whole milk at room temperature
,strong brewed coffee,container frozen whipped topping thawed divided
,allpurpose flour more for pan,guava pulp
,strong brewed coffee room temperature,guava nectar
,large eggs egg yolk room temperature,guava nectar
,coffee liqueur,unsalted butter sliced
,A inch tube pan,Irish cream liqueur or to taste
,walnuts about toasted chopped divided,warm water degrees F degrees C
,instant espresso powder,gumdrops chopped
,mascarpone cheese,allpurpose flour for coating
,about walnuts toasted chopped,finely chopped cooked ham
,Italian cream cheese sold at many supermarkets and at Italian markets,cold mashed potatoes
,Yellow cornmeal,green onions finely chopped
,fresh goats milk or whole milk,dried dill weed
,Black Cherry Compote,panko bread crumbs divided
,Homemade Baking Powder,vegetable oil for frying or as needed
,coarsely crushed sugar cubes,brown paste food coloring
,Buttermilk Ice Cream,prepared chocolate frosting
,Rhubarb Compote,orange chewy fruitflavored candy squares
,Sweet Rosemary Syrup,leafshaped spearmint gumdrops
,halfpints blackberries,large red gumdrops
,dry or offdry Riesling,large white gumdrops
,fresh rosemary sprigs,candy lime slices
,whole black peppercorns,sesame seeds
,Forelle pears or other small pears peeled stems left intact,Galliano liqueur
,large eggs beaten to blend in medium bowl,ChocolateSour Cream Frosting
,inchlong fresh rosemary sprigs,sifted powdered sugar
,Bakers sugar or other superfine sugar,package graham crackers crushed
,mayonnaise divided,container extracreamy frozen whipped topping thawed
,Worcestershire sauce,canned sliced pineapple rings drain and reserve juice
,scallions finely sliced,flaked coconut divided
,chopped fresh parsley,canned sliced pineapple rings chopped
,chopped fresh tarragon,jar maraschino cherries
,Zest of lemon,shortening melted
,Dash of Tabasco,whole wheat pastry flour
,breadcrumbs,whole wheat pastry flour
,Sea salt,package natural chocolate cake mix
,Freshly ground black pepper,lowfat sour cream
,jumbo lump crabmeat picked over,confectioners sugar for dusting on top of cooled cake optional
,yellow ground cornmeal,Oatmeal
,rolls halved,ground flax seed
,Sriracha,coconut oil
,slices crisp cooked bacon,unsweetened flaked coconut
,avocado sliced,sunflower seed oil
,tomatoes sliced,squares German sweet chocolate grated
,Lettuce,lemons lemon zested
,unsalted butter room temperature,Syrup
,ground blanched almonds,grape jam
,fresh cranberries coarsely chopped,recipe Kentucky Fruit Filling
,sifted unbleached all purpose flour,raisins or dates
,pumpkin pie spice,finely chopped hickory nuts
,dried cranberries or currants,package chocolate frosting
,cake flour not selfrising,gum drops no black licorice gum drops
,a bag fresh or unthawed frozen cranberries about,ground cloves optional
,a bag sweetened shredded coconut for coating cake about,ground allspice optional
,fresh or frozen thawed cranberries,cooked mashed sweet potatoes
,grapeseed oil or other neutral vegetable oil,unsweetened canned pumpkin puree
,freshly grated lemon zest,rum extract
,apple cider,marshmallows quartered
,strained fresh lemon juice,chopped candied cherries
,citruscranberry compote optional,chopped candied pineapple
,Special equipment An square cake pan,chopped salted pecans
,fresh or frozen cranberries do not thaw if frozen,sherry
,coarsely chopped walnuts toasted,can pitted dark sweet cherries drained with juice reserved
,Special equipment a wellseasoned inch castiron skillet,can sweetened condensed milk such as Eagle Brand
,sifted all purpose flour,English toffee baking bits or to taste optional
,chopped pecans lightly toasted,jar boysenberry preserves with whole berries
,box German chocolate cake mix,butter softened divided
,powdered sugar,slivered almonds for topping
,package cream cheese cut into pieces room temperature,Glaze Optional
,powdered sugar,apple peeled cored and shredded optional
,purchased caramelflavored topping or dulce de leche topping,finely grated carrot
,fresh or dried thin Asian egg noodles or capellini,orangeflavored liqueur such as Cointreau optional
,Asian toasted sesame oil,package noninstant vanilla pudding mix
,two inchthick slices of fresh gingerroot flattened with the flat side of a heavy knife,baking mix
,Scotch,super fine sugar
,medium shrimp about peeled deveined rinsed and squeezed dry gently in a kitchen towel,vegetable shortening or as needed
,dried Chinese black mushrooms or dried shiitake mushrooms soaked in hot water for minutes,sliced carrot
,cornstarch,almond milk
,chicken broth,whole chestnuts drained
,soy sauce,chopped marrons glace candied chestnuts
,Scotch,hazelnuts
,Asian toasted sesame oil,chopped hazelnuts for garnish
,minced scallion,cans evaporated milk
,minced peeled fresh gingerroot,package cake
,snow peas each trimmed and cut diagonally into pieces,package large marshmallows
,available at some Asian markets,cans crushed pineapple
,unsalted butter divided more for pan,strawberry ice cream softened
,garlic cloves thinly sliced,fresh strawberries
,small Yukon Gold potatoes peeled sliced thick,smooth peanut butter
,Kosher salt freshly ground pepper,crispy rice cereal
,duck fat or unsalted butter,hulled and halved strawberries
,fresh flatleaf parsley leaves,vanilla ice cream sandwiches unwrapped
,Special equipment An diameter cake pan,containers whipped topping such as Cool Whip thawed
,Granny Smith apples,jar hot fudge ice cream topping warmed
,sugar to taste,chopped pecans or to taste
,fresh breadcrumbs,brewed espresso
,cream whipped,finely ground espresso beans
,red currant jelly or jam,espresso ice cream
,unsweetened Dutchprocess cocoa,PAM Coconut Oil NoStick Cooking Spray
,unsalted butter softened,Parkay Originalstick softened
,chocolate extract optional,Egg Beaters Original
,Accompanimentsbrown sugar sour cream,chopped pecans or walnuts
,strawberries,Reddiwip Fat Free Dairy Whipped Topping optional
,available by mail order,cardamom flavored extract
,highquality milk chocolate such as Lindt or Perugina,Idahoan Boxed Original Mashed Potatoes dry
,bittersweet not unsweetened or semisweet chocolate finely chopped,CocaCola or Guinness for an adult cake
,heavy whipping cream,Idahoan Original potato flakes
,unsalted butter room temperature,eggs slightly beaten
,packed golden brown sugar divided,lemon zest grated
,sweetened chestnut spread with vanilla,maraschino cherries drained
,golden brown sugar,mashed cooked potatoes
,jarred peeled whole chestnuts coarsely chopped left whole about,jigger Irish whiskey
,Edible gold dust,maraschino cherries optional
,unsalted butter chopped,Marsala wine
,dark chocolate chopped,can pitted dark sweet cherries drained with syrup reserved
,superfine sugar,ricotta cheese
,sea salt,package prepared cake
,mini pretzels,Marsala wine
,packed golden brown sugar,can sweetened flaked coconut
,about hot milk,confectioners sugar or more to taste
,unsweetened cocoa powder not Dutchprocess,chopped pecans or to taste
,boiling water,can sweetened flaked coconut such as Bakers Angel Flake
,finequality bittersweet chocolate not unsweetened chopped,mixed nuts or as desired for garnish optional
,one container sour cream,extra virgin olive oil
,unsalted butter softened,small purple grapes
,granulated sugar,confectioners sugar divided more for dusting
,Cointreau or other orangeflavored liqueur,partskim ricotta cheese
,one inch cardboard round,vanilla vodka
,one inch cardboard round,cranberry juice
,three inch plastic straws,amaretto almond flavored liqueur
,unsalted butter cut into pieces and softened to cool room temperature,white creme de cacao
,Note A cakedecorating turntable is extremely helpful for assembling and decorating a wedding cake,bananas peeled and diced
,Decoration fraises des bois wild strawberries and small roses with some leaves attached both fruit and flowers must be nontoxic and pesticidefree,flaked coconut or as desired optional
,available at specialty cookware shops,butterflavored shortening
,robustflavored dark molasses not blackstrap,package miniature chocolate chips
,stout,recipe seven minute frosting from recipe link
,rye flour,lemons peeled and seeded
,finely grated peeled ginger,oranges peeled and seeded
,virgin coconut oil melted slightly cooled,strong brewed coffee cold
,plain wholemilk yogurt,large Rome Beauty apples peeled cored and chopped
,A inchdiameter springform pan,peeled apples thinly sliced
,unsalted butter cut into pieces more for pan,apples peeled cored and shredded
,allpurpose flour more for pan,halfandhalf cream
,bittersweet chocolate at least cacao chopped,oil for frying or as needed
,kosher salt,ripe plantains peeled halved and each half cut into to pieces
,bittersweet chocolate at least cacao finely chopped,splash vanilla extract or to taste
,unsalted butter cut into small pieces,queso fresco crumbled
,red wine such as Pinot Noir,Melt Organic Buttery Spread melted
,Special equipment A springform pan,green apples
,grappa or brandy,red candied cherries halved
,loaf cake,grated key lime zest
