parsed_ingredients
"potato, starch, dusting, cake, pan, vegetable, oil, matzoh, cake, meal, potato, starch, extralarge, egg, separated, sugar, orange, juice, juice, lemon, freshly, orange, zest, freshly, lemon, zest, pure, vanilla, extract, almond, extract, salt, strawberry, stemmed, washed, thinly, orange, juice, sugar"
"sifted, selfrising, flour, sugar, chilled, unsalted, butter, cut, piece, sweetened, coconut, toasted, milk, egg, vanilla, extract, blueberry, pie, filling, lemon, juice"
"purpose, flour, baking, powder, fine, sea, salt, unsweetened, coconut, sugar, unsalted, butter, finely, orange, peel, egg, vanilla, extract, unsweetened, coconut, milk, bittersweet, chocolate, bar, exceed, cacao, broken, irregular, piece, sweetened, flaked, coconut, powdered, sugar, unsweetened, coconut, milk, vanilla, extract, vanilla, ice, cream"
"white, lily, flour, cake, flour, selfrising, baking, powder, salt, milk, coconut, liquid, heavy, coconut, without, crack, containing, liquid, procedure, follows, water, vanilla, unsalted, butter, sugar, egg, egg, yolk, sugar, lime, juice, heavy, cream, cold, unsalted, butter, cut, piece, freshly, lime, zest, coconut, procedure, follows, sweetened, coconut, egg, white, sugar, water, light, corn, syrup, freshly, lime, zest, lime, juice, shaved, coconut, procedure, follows, sweetened, flaked, coconut"
"unsweetened, coconut, nonstick, vegetable, oil, spray, cake, flour, pan, baking, powder, kosher, salt, virgin, coconut, oil, melted, vanilla, extract, unsweetened, coconut, milk, sugar, unsalted, butter, egg, finely, key, lime, zest, key, lime, juice, key, lime, unsalted, butter, cut, piece, egg, yolk, sugar, finely, key, lime, zest, key, lime, juice, key, lime, cold, heavy, cream, finely, key, lime, zest, unsweetened, coconut, flake"
"cake, flour, baking, powder, salt, milk, vanilla, extract, coconut, extract, unsalted, butter, sugar, egg, white, sweetened, condensed, milk, coconut, cream, mint, leaf, sugar, water, heavy, whipping, cream, chilled, sweetened, flaked, coconut"
"cake, flour, selfrising, salt, egg, sugar, vanilla, unsalted, butter, melted, cooled, pineapple, including, juice, sugar, cornstarch, lemon, juice, water, sugar, light, rum, coconut, buttercream, coconut, shaving, see, crack, shave, coconut, sweetened, flaked, coconut"
"allpurpose, flour, baking, powder, salt, egg, yolk, sugar, pure, vanilla, extract, unsalted, butter, melted, cooled, wellstirred, sweetened, cream, coconut, coco, lopez, coconut, confectioner, sugar, cream, cheese, wellstirred, sweetened, cream, coconut, dark, rum, pure, vanilla, extract, heavy, cream, confectioner, sugar, equipment, round, cake, pan, deep, adjustableblade, slicer"
"sour, cream, cream, coconut, coco, lopez, egg, vegetable, oil, lemon, juice, box, white, cake, mix, flaked, sweetened, coconut, toasted"
"sifted, unbleached, purpose, flour, baking, powder, ground, ginger, baking, soda, salt, ground, cinnamon, unsalted, butter, sugar, egg, light, unsulfured, molasses, orange, peel, vanilla, extract, buttermilk, sweetened, coconut, toasted, crystallized, ginger, cream, cheese, unsalted, butter, orange, peel, vanilla, extract, box, powdered, sugar, crystallized, ginger, sweetened, coconut, toasted, tropical, fruit, pineapple, papaya, mango, cut, bitesize, piece"
"fine, chocolate, wafer, crumb, wafer, unsalted, butter, melted, coffee, ice, cream, slightly, wellchilled, heavy, cream, vanilla, amaretti, italian, almond, macaroon, available, specialty, food, shop, supermarket, almond, toasted, heavy, cream, dark, brown, sugar, finequality, bittersweet, chocolate, unsweetened, chocolate, unsalted, butter, amaretto"
"cake, flour, natural, unsweetened, cocoa, powder, baking, soda, salt, unsalted, butter, golden, brown, sugar, egg, vanilla, extract, buttermilk, instant, espresso, powder, dissolved, hot, water, natural, unsweetened, cocoa, powder, instant, espresso, powder, chilled, heavy, whipping, cream, sugar, container, chilled, mascarpone, cheese, bittersweet, chocolate, curl"
"allpurpose, flour, chilled, unsalted, butter, light, brown, sugar, powdered, sugar, instant, espresso, powder, kosher, salt, semisweet, chocolate, coarsely, unsalted, butter, pecan, toasted, coarsely, strong, brewed, coffee, granulated, sugar, unsalted, butter, pan, allpurpose, flour, pan, instant, espresso, powder, baking, powder, baking, soda, ground, cinnamon, kosher, salt, ground, cardamom, strong, brewed, coffee, sour, cream, vanilla, extract, granulated, sugar, egg, egg, yolk, powdered, sugar, coffee, liqueur, sour, cream, tube, pan"
"walnut, toasted, sugar, instant, espresso, powder, purpose, flour, baking, powder, ground, cinnamon, baking, soda, salt, unsalted, butter, egg, egg, yolk, vanilla, extract, buttermilk, instant, espresso, powder, water, chilled, heavy, whipping, cream, mascarpone, cheese, powdered, sugar, vanilla, extract, walnut, toasted, ground, cinnamon, salt, italian, cream, cheese, sold, many, supermarket, italian, market"
"yellow, cornmeal, vanilla, bean, split, lengthwise, goat, milk, milk, unsalted, butter, lemon, peel, salt, yellow, cornmeal, honey, sugar, egg, separated, black, cherry, compote"
"purpose, flour, yellow, cornmeal, homemade, baking, powder, salt, unsalted, butter, finely, orange, peel, sugar, egg, sour, cream, vanilla, extract, coarsely, sugar, cube, buttermilk, ice, cream, rhubarb, compote"
"unsalted, butter, sugar, yellow, cornmeal, allpurpose, flour, baking, powder, salt, egg, egg, yolk, milk, sweet, rosemary, syrup, sweetened, whipped, cream, halfpints, blackberry"
"water, sugar, dry, offdry, riesling, rosemary, vanilla, bean, split, lengthwise, black, peppercorn, forelle, pear, pear, stem, left, intact, purpose, flour, yellow, cornmeal, unsalted, butter, sugar, salt, egg, beaten, blend, bowl, vanilla, extract, sugar, water, rosemary, baker, sugar, superfine, sugar"
"unsalted, butter, sugar, egg, yolk, egg, ground, blanched, almond, vanilla, extract, cranberry, coarsely, sifted, unbleached, purpose, flour, pumpkin, pie, spice, cranberry, currant, powdered, sugar"
"cake, flour, selfrising, baking, powder, salt, milk, water, vanilla, unsalted, butter, sugar, egg, vanilla, bean, bag, unthawed, cranberry, sugar, water, egg, white, sugar, water, salt, bag, sweetened, coconut, coating, cake"
"nonstick, vegetable, oil, spray, allpurpose, flour, ground, cinnamon, kosher, salt, ground, cardamom, baking, powder, baking, soda, cranberry, sugar, dark, brown, sugar, grapeseed, oil, neutral, vegetable, oil, egg, sour, cream, freshly, orange, zest, freshly, lemon, zest, vanilla, extract, apple, cider, powdered, sugar, freshly, lemon, zest, strained, lemon, juice, kosher, salt, citruscranberry, compote, special, equipment, cake, pan"
"unsalted, butter, light, brown, sugar, cranberry, thaw, coarsely, walnut, toasted, allpurpose, flour, baking, powder, baking, soda, salt, unsalted, butter, granulated, sugar, egg, vanilla, wellshaken, buttermilk, special, equipment, wellseasoned, castiron, skillet, accompaniment, sweetened, whipped, cream"
"unsalted, butter, cream, cheese, sugar, salt, egg, vanilla, extract, sifted, purpose, flour"
"almond, toasted, pecan, toasted, box, german, chocolate, cake, mix, water, vegetable, oil, egg, unsalted, butter, powdered, sugar, cream, cheese, cut, piece, powdered, sugar, unsweetened, cocoa, powder, milk, unsalted, butter, semisweet, chocolate, chip, vanilla, extract, purchased, caramelflavored, topping, dulce, de, leche, topping"
"kilogram, granny, smith, apple, gram, butter, sugar, breadcrumb, sugar, fluid, cream, whipped, currant, jelly, jam"
"cake, flour, unsweetened, dutchprocess, cocoa, salt, baking, soda, sour, cream, unsalted, butter, granulated, sugar, dark, brown, sugar, chocolate, extract, vanilla, extract, egg, finequality, bittersweet, chocolate, unsweetened, unsalted, butter, accompanimentsbrown, sugar, sour, cream, strawberry, available, mail, order"
