title,ingredients,ingredient
Individual Blueberry-Coconut Pound Cake Muffins,"['1/2 cup (1 stick) unsalted butter, softened', '3/4 cup sugar', '2 teaspoons freshly grated lime zest', '2 large eggs', '5 tablespoons heavy cream', '1 cup all-purpose flour', '1/4 teaspoon salt', '1/2 cup plus 3 tablespoons sweetened flaked coconut', '1/2 cup blueberries']","['(1 stick) unsalted butter, softened', 'sugar', 'freshly grated lime zest', 'eggs', 'heavy cream', 'all-purpose flour', 'salt', 'plus 3 tablespoons sweetened flaked coconut', 'blueberries']"
Instant Chocolate Cake,[],[]
King Cake Cheesecake,"['1 1/2 cups graham cracker crumbs', '1/2 cup (1 stick) unsalted butter, melted', 'Three 8-ounce packages cream cheese, softened', '3/4 cup sugar', '6 large eggs plus 6 large egg yolks', '1/2 cup eggnog', '1 teaspoon vanilla extract', '3/4 teaspoon cinnamon', 'Purple food coloring, as needed', 'Yellow food coloring, as needed', 'Green food coloring, as needed', 'Whipped cream, for garnish', 'Chocolate curls, for garnish']","['1/2 cups graham cracker crumbs', '(1 stick) unsalted butter, melted', 'Three 8-ounce packages cream cheese, softened', 'sugar', 'eggs plus 6 large egg yolks', 'eggnog', 'vanilla extract', 'cinnamon', 'Purple food coloring, as needed', 'Yellow food coloring, as needed', 'Green food coloring, as needed', 'Whipped cream, for garnish', 'Chocolate curls, for garnish']"
Lemon Cake,"['1/2 pound (2 sticks) unsalted butter, at room temperature', '2 1/2 cups granulated sugar, divided', '4 extra-large eggs, at room temperature', '1/3 cup grated lemon zest (6 to 8 large lemons)', '3 cups flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon kosher salt', '3/4 cup freshly squeezed lemon juice, divided', '3/4 cup buttermilk, at room temperature', '1 teaspoon pure vanilla extract', ""2 cups confectioners' sugar, sifted"", '3 1/2 tablespoons freshly squeezed lemon juice']","['(2 sticks) unsalted butter, at room temperature', '1/2 cups granulated sugar, divided', '-large eggs, at room temperature', 'grated lemon zest (6 to 8 large lemons)', 'flour', 'baking powder', 'baking soda', 'kosher salt', 'freshly squeezed lemon juice, divided', 'buttermilk, at room temperature', 'pure vanilla extract', ""confectioners' sugar, sifted"", '1/2 tablespoons freshly squeezed lemon juice']"
Lemon-Lime Pound Cake,"['3 cups granulated sugar', '3 sticks (12 ounces) unsalted butter', '5 eggs', '3 cups all-purpose flour', '1/2 teaspoon salt', '1 cup lemon-lime soda, such as 7-Up', '1 tablespoon lemon zest', '1 tablespoon lime zest', 'Nonstick baking spray, for spraying pan', '2 cups powdered sugar, sifted', '1 tablespoon lemon zest, dried for at least 30 minutes, plus more for sprinkling', '1 tablespoon lemon juice', '1 tablespoon lime zest, dried for at least 30 minutes, plus more for sprinkling', '1 tablespoon lime juice', '1/4 teaspoon salt', '1 cup heavy cream', '1 teaspoon granulated sugar', 'Blackberries, for serving']","['granulated sugar', '(12 ounces) unsalted butter', '', 'all-purpose flour', 'salt', 'lemon-lime soda, such as 7-Up', 'lemon zest', 'lime zest', 'Nonstick baking spray, for spraying pan', 'powdered sugar, sifted', 'lemon zest, dried for at least 30 minutes, plus more for sprinkling', 'lemon juice', 'lime zest, dried for at least 30 minutes, plus more for sprinkling', 'lime juice', 'salt', 'heavy cream', 'granulated sugar', 'Blackberries, for serving']"
Lemon Pound Cake,"['1 1/2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon salt', '1 cup (2 sticks) butter, softened at room temperature', '1 cup sugar, plus 1/3 cup', '4 eggs', '2 teaspoons pure vanilla extract', '1/4 cup lemon juice, plus 1/3 cup']","['1/2 cups all-purpose flour', 'baking powder', 'salt', '(2 sticks) butter, softened at room temperature', 'sugar, plus 1/3 cup', '', 'pure vanilla extract', 'lemon juice, plus 1/3 cup']"
Lemon Pudding Cake with Raspberry Coulis,"['1/4 cup all-purpose flour', '1/4 teaspoon salt', '3/4 cup sugar', '3 large eggs, separated', '1 cup 1-percent milk', '1 large lemon, zested', '5 tablespoons fresh lemon juice', '1 (10-ounces) package frozen raspberries in syrup', '2 tablespoons sugar', '1 teaspoon fresh lemon juice, or to taste']","['all-purpose flour', 'salt', 'sugar', 'eggs, separated', '1-percent milk', 'lemon, zested', 'fresh lemon juice', '(10-ounces) package frozen raspberries in syrup', 'sugar', 'fresh lemon juice, or to taste']"
Light Carrot Cake,"['Nonstick cooking spray', '1 1/4 cups all-purpose flour', '1 1/4 cups whole wheat pastry flour', '1 1/2 teaspoons baking powder', '1 1/2 teaspoons ground cinnamon', '1 teaspoon baking soda', '1/2 teaspoon allspice', '1/2 teaspoon ground ginger', 'Fine salt', '2 large eggs', '1 egg white', '1 cup packed light brown sugar', '3/4 cup granulated sugar', '1/2 cup canned crushed pineapple in fruit juice', '1/2 cup vegetable oil', '5 medium carrots, peeled and grated (about 3 cups)', 'Light Cream Cheese Frosting, recipe follows', '8 ounces reduced-fat cream cheese, at room temperature', '3/4 cup powdered sugar', '1 teaspoon fresh lemon zest']","['Nonstick cooking spray', '1/4 cups all-purpose flour', '1/4 cups whole wheat pastry flour', '1/2 teaspoons baking powder', '1/2 teaspoons ground cinnamon', 'baking soda', 'allspice', 'ground ginger', 'Fine salt', 'eggs', 'white', 'packed light brown sugar', 'granulated sugar', 'canned crushed pineapple in fruit juice', 'vegetable oil', 'carrots, peeled and grated (about 3 cups)', 'Light Cream Cheese Frosting, recipe follows', 'reduced-fat cream cheese, at room temperature', 'powdered sugar', 'fresh lemon zest']"
Love Cake,"['Vegetable spray, for greasing baking pan', 'All-purpose flour, for dusting baking pan', '8 large eggs', '1/3 cup vegetable oil', '1 teaspoon pure vanilla extract', '1 1/4 cups water', '1 package fudge marble cake mix (or plain vanilla)', '1/2 cup cocoa powder', '2 pounds whole milk ricotta cheese', '3/4 cup granulated sugar', '1 tablespoon vanilla extract', '1/2 cup chocolate chips', '1 package instant chocolate pudding', '1 1/4 cups cold whole milk', '4 cups prepared whipped cream']","['Vegetable spray, for greasing baking pan', 'All-purpose flour, for dusting baking pan', 'eggs', 'vegetable oil', 'pure vanilla extract', '1/4 cups water', 'fudge marble cake mix (or plain vanilla)', 'cocoa powder', 'whole milk ricotta cheese', 'granulated sugar', 'vanilla extract', 'chocolate chips', 'instant chocolate pudding', '1/4 cups cold whole milk', 'prepared whipped cream']"
Meyer Lemon-Cranberry Bundt Cake,"['3 1/4 sticks unsalted butter, cubed and at room temperature, plus more for the pan', '3 cups cake flour, sifted, plus more for the pan', '1 12 ounce bag fresh or frozen cranberries, thawed if frozen', '2 1/2 cups granulated sugar', '6 tablespoons whole milk', '4 large eggs, plus 2 egg yolks', '2 teaspoons vanilla extract', '2 tablespoons finely grated Meyer lemon zest', '1 1/2 teaspoons baking powder', '1/2 teaspoon salt', '1/4 cup granulated sugar', '1/2 cup plus 2 tablespoons Meyer lemon juice', ""1 1/2 cups confectioners' sugar""]","['1/4 sticks unsalted butter, cubed and at room temperature, plus more for the pan', 'cake flour, sifted, plus more for the pan', '12 ounce bag fresh or frozen cranberries, thawed if frozen', '1/2 cups granulated sugar', 'whole milk', 'eggs, plus 2 egg yolks', 'vanilla extract', 'finely grated Meyer lemon zest', '1/2 teaspoons baking powder', 'salt', 'granulated sugar', 'plus 2 tablespoons Meyer lemon juice', ""1/2 cups confectioners' sugar""]"
